file_id,child_age,target_word,guesser_type,speaker,original_text,auto_translation,manual_translation,missing_transcript,useful_context,is_dubious,is_relevant,validity_check,is_valid,initiate_repair,error_type,gemma:7b,mistral,llama3,phi3:medium,gpt4o,gpt4o:def,mistral-masked,mistral-fewshot
ID_14,9,,,(INV),"3, 2, 1... C'est parti.","3, 2, 1... Here we go.",,,,,,,,,,,,,,,,,
ID_14,9,,,child,"Euh, je pense... C'est bon.","Um, I think... It's okay.",,,,,,,,,,,,,,,,,
ID_14,9,,,parent,Est-ce que tu penses à une chose ?,Are you thinking of something?,,,,,,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,"Oui, enfin...",Yes finally...,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,C'est une chose ?,It's a thing ?,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,"C'est quoi, une chose ?",What is a thing?,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,"Bah, c'est pas vivant.","Well, it's not alive.",,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,"Une chose, c'est-à-dire un objet, je sais pas, un plastique, une matière...","A thing, that is to say an object, I don't know, a plastic, a material...",,,,,,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,"Ah, mais c'est toi qui as choisi le mot, là ?","Ah, but it was you who chose the word there?",,,,,,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,Oui.,Yes.,,,,,,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,D'accord.,All right.,,,,,,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,"Bah, est-ce que c'est un objet, oui ?","Well, is it an object, yes?",,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,Oui.,Yes.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,Est-ce que ça se trouve dans la maison ?,Is it in the house?,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,Oui.,Yes.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,Est-ce que ça se trouve sur toi ?,Is this on you?,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,Non.,No.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,Est-ce que ça se trouve sur moi ?,Is this on me?,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,Non.,No.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,Est-ce que... Est-ce que... Donc ça se trouve dans la maison ou est-ce que ça se trouve dans le salon ?,Is... Is... So is it in the house or is it in the living room?,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,Oui.,Yes.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,Est-ce que c'est un miroir ?,Is it a mirror?,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,Non.,No.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,Est-ce que c'est une table ?,Is this a table?,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,Non.,No.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,Est-ce que on l'utilise pendant les repas ?,Do we use it during meals?,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,Non.,No.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,D'accord.,All right.,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,Est-ce que c'est un objet de décoration ?,Is it a decorative object?,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,Oui.,Yes.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,Est-ce que moi je peux le voir maintenant là ?,Can I see it now?,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,Non.,No.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,Ah.,Oh.,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,C'est un problème.,It is a problem.,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,Tu peux tourner la tête hein.,"You can turn your head, huh?",,,,,1.0,1.0,1.0,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,Ah oui ?,Oh yes ?,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,Oui.,Yes.,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,"C'est pour ça qu'il y a une caméra, pour que tu tournes la tête et ben ça voit où tu vois.","That's why there's a camera, so that you turn your head and it sees where you see.",,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,Est-ce que c'est une sculpture ?,Is it a sculpture?,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,Non. Mais regarde !,No. But look!,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,Est-ce que c'est une photo ?,Is this a photo?,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,Je sais ce qu'il y a là-bas.,I know what's there.,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,Un cadre ?,A frame ?,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,"T'étais plus proche photos, mais c'est laquelle la photo ?","You were closer to the photos, but which photo is it?",,,,,1.0,1.0,1.0,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,Ah !,Ah!,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,"Et bien, il y a la photo de...","Well, there is the photo of...",,,,,,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,Parce qu'il y a tout ça,Because there is all that,,,,,,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,"Oui, mais une photo, donc, là-bas, parce que tu regardes là-bas.","Yes, but a photo, therefore, over there, because you are looking over there.",,,,,,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,parent,La photo de toi quand t'es bébé ?,The photo of you when you were a baby?,,,,,1.0,,,,,,,,,,,,
ID_14,9,Photo of a baby,parent,child,Oui.,Yes.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_14,9,,,child,"Ah, en fait, tu veux voir dans le miroir ?","Ah, actually, do you want to see in the mirror?",,,,,,,,,,,,,,,,,
ID_14,9,,,parent,"Non, mais je connais tout ce qu'il y a là-bas, moi.","No, but I know everything there is there.",,,,,,,,,,,,,,,,,
ID_14,9,A watch,child,parent,À mon tour.,My turn.,,,,,1.0,,,,,,,,,,,,
ID_14,9,A watch,child,parent,Ça y est.,That's it.,,,,,1.0,,,,,,,,,,,,
ID_14,9,A watch,child,child,Est-ce que tu penses à un objet ?,Are you thinking of an object?,,,,,1.0,,,,,,,,,,,,
ID_14,9,A watch,child,parent,Oui.,Yes.,,,,,1.0,,,,,,,,,,,,
