file_id;child_age;target_word;original_target_word;guesser_type;speaker;original_text;auto_translation;manual_translation;missing_transcript;useful_context;is_dubious;is_relevant;validity_check;agreement;initiate_repair;error_type
ID_22;11;;;;(INV);3, 2, 1, c'est parti.;3, 2, 1, here we go.;;;;;;;;;
ID_22;11;Uranus;Uranus;parent;child;C'est bon, j'ai trouvé.;It's good I found.;;;;;1.0;;;;
ID_22;11;Uranus;Uranus;parent;parent;Alors, est-ce que c'est un animal ?;So, is it an animal?;;;;;1.0;;;;
ID_22;11;Uranus;Uranus;parent;child;Non.;No.;;;;;1.0;1.0;;;
ID_22;11;Uranus;Uranus;parent;parent;C'est vivant ?;It's alive ?;;;;;1.0;;;;
ID_22;11;Uranus;Uranus;parent;child;Non.;No.;;;;;1.0;1.0;;;
ID_22;11;Uranus;Uranus;parent;parent;C'est un objet de la maison ?;Is it a household item?;;;;;1.0;;;;
ID_22;11;Uranus;Uranus;parent;child;Non.;No.;;;;;1.0;1.0;;;
ID_22;11;Uranus;Uranus;parent;parent;Un moyen de transport ?;A transport means ?;;;;;1.0;;;;
ID_22;11;Uranus;Uranus;parent;child;Non.;No.;;;;;1.0;1.0;;;
ID_22;11;Uranus;Uranus;parent;parent;Donne-moi un indice sur le type.;Give me a clue on the guy.;Give me a clue on the type.;;;1.0;1.0;;;;
ID_22;11;Uranus;Uranus;parent;child;Tu sais.;You know.;;;;;;;;;
ID_22;11;Uranus;Uranus;parent;child;C'est...;It's...;;;;;;;;;
ID_22;11;Uranus;Uranus;parent;parent;La famille, le...;The family, the...;;;;;;;;;
ID_22;11;Uranus;Uranus;parent;child;Non, c'est... C'est pas sur la Terre.;No, it's... It's not on Earth.;;;;;1.0;1.0;;;
ID_22;11;Uranus;Uranus;parent;parent;C'est dans l'espace ?;Is it in space?;;;;;1.0;;;;
ID_22;11;Uranus;Uranus;parent;child;Oui.;Yes.;;;;;1.0;1.0;;;
ID_22;11;Uranus;Uranus;parent;parent;Un astéroïde ?;An asteroid?;;;;;1.0;;;;
ID_22;11;Uranus;Uranus;parent;child;Non.;No.;;;;;1.0;1.0;;;
ID_22;11;Uranus;Uranus;parent;parent;Une comète ?;A comet ?;;;;;1.0;;;;
ID_22;11;Uranus;Uranus;parent;child;Non.;No.;;;;;1.0;1.0;;;
ID_22;11;Uranus;Uranus;parent;parent;Est-ce que c'est une planète ?;Is it a planet?;;;;;1.0;;;;
ID_22;11;Uranus;Uranus;parent;child;Oui.;Yes.;;;;;1.0;1.0;;;
ID_22;11;Uranus;Uranus;parent;parent;Du système solaire ?;From the solar system?;;;;;1.0;;;;
ID_22;11;Uranus;Uranus;parent;child;Oui.;Yes.;;;;;1.0;1.0;;;
ID_22;11;Uranus;Uranus;parent;parent;Saturne ?;Saturn?;;;;;1.0;;;;
ID_22;11;Uranus;Uranus;parent;child;Non.;No.;;;;;1.0;1.0;;;
ID_22;11;Uranus;Uranus;parent;parent;On a vu toutes les faire.;We saw them all done.;;;;;;;;;
ID_22;11;Uranus;Uranus;parent;parent;C'est une que t'as choisie en particulier, une planète que t'as choisie ?;Is it one that you chose in particular, a planet that you chose?;;;;;1.0;;;;
ID_22;11;Uranus;Uranus;parent;child;Oui.;Yes.;;;;;1.0;1.0;;;
ID_22;11;Uranus;Uranus;parent;parent;Donc Mars ?;So Mars?;;;;;1.0;;;;
ID_22;11;Uranus;Uranus;parent;parent;Vénus.;Venus.;;;;;1.0;;;;
ID_22;11;Uranus;Uranus;parent;child;;[shakes head];;;;;1.0;1.0;;;
ID_22;11;Uranus;Uranus;parent;parent;Mercure.;Mercury.;;;;;1.0;;;;
ID_22;11;Uranus;Uranus;parent;child;;[shakes head];;;;;1.0;1.0;;;
ID_22;11;Uranus;Uranus;parent;parent;Jupiter.;Jupiter.;;;;;1.0;;;;
ID_22;11;Uranus;Uranus;parent;child;;[shakes head];;;;;1.0;1.0;;;
ID_22;11;Uranus;Uranus;parent;parent;Neptune.;Neptune.;;;;;1.0;;;;
ID_22;11;Uranus;Uranus;parent;child;;[shakes head];;;;;1.0;1.0;;;
ID_22;11;Uranus;Uranus;parent;parent;Uranus.;Uranus.;;;;;1.0;;;;
ID_22;11;Uranus;Uranus;parent;child;;[nods head];;;;;1.0;1.0;;;
ID_22;11;;;;parent;Elle est à moi, je trouve.;She's mine, I think.;;;;;;;;;
ID_22;11;A comforter;couette;child;child;Est-ce que... Est-ce que c'est dans la maison ?;Is... Is it in the house?;;;;;1.0;;;;
ID_22;11;A comforter;couette;child;parent;Oui.;Yes.;;;;;1.0;;;;
ID_22;11;A comforter;couette;child;parent;Direct.;Direct.;;;;;;;;;
ID_22;11;A comforter;couette;child;child;Est-ce que dans la pièce où on est ?;Is that in the room we are in?;;;;;1.0;1.0;1.0;0.0;2
ID_22;11;A comforter;couette;child;parent;Il y en a un, ouais.;There is one, yeah.;;;;;1.0;;;;
ID_22;11;A comforter;couette;child;child;Les lunettes ?;Glasses ?;;;;;1.0;1.0;1.0;0.0;1,7
ID_22;11;A comforter;couette;child;parent;Non.;No.;;;;;1.0;;;;
ID_22;11;A comforter;couette;child;child;Les téléphones ?;The phones ?;;;;;1.0;1.0;1.0;0.0;1,7
ID_22;11;A comforter;couette;child;parent;Non.;No.;;;;;1.0;;;;
ID_22;11;A comforter;couette;child;child;C'est dans la pièce ?;Is it in the room?;;;;;1.0;1.0;0.0;0.0;2,4
ID_22;11;A comforter;couette;child;parent;Il y en a, oui.;There is, yes.;;;;;1.0;;;;
ID_22;11;A comforter;couette;child;child;Des jouets ?;Toys ?;;;;;1.0;1.0;1.0;0.0;1
ID_22;11;A comforter;couette;child;parent;Non.;No.;;;;;1.0;;;;
