file_id,child_age,target_word,guesser_type,speaker,original_text,auto_translation,manual_translation,missing_transcript,useful_context,is_dubious,is_relevant,validity_check,is_valid,initiate_repair,error_type,gemma:7b,mistral,llama3,phi3:medium,gpt4o,gpt4o:def,mistral-masked,mistral-fewshot
ID_18,11,,,(INV),"3, 2, 1, c'est parti !","3, 2, 1, here we go!",,,,,,,,,,,,,,,,,
ID_18,11,,,parent,Vas-y.,Go ahead.,,,,,,,,,,,,,,,,,
ID_18,11,,,child,"Ok, j'ai réfléchi un mot.","Ok, I thought about it a bit.",,,,,,,,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,child,J'ai trouvé.,I've found.,,,,,1.0,,,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,parent,Est-ce que c'est un objet ?,Is it an object?,,,,,1.0,,,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,child,"Oui, on va dire.","Yes, we will say.",,,,,1.0,1.0,1.0,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,parent,Est-ce que ça se mange ?,Is it edible?,,,,,1.0,,,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,child,Surtout pas.,Especially not.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,parent,"Ok, est-ce qu'il y en a dans la maison ?","Ok, are there any in the house?",,,,,1.0,,,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,child,"Oui, je pense.",I think yes.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,parent,Est-ce que ça vole ?,Does it fly?,,,,,1.0,,,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,child,,[shakes head to say no],,,,,1.0,1.0,1.0,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,parent,Est-ce que c'est un animal ?,Is it an animal?,,,,,1.0,,,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,parent,"Non, c'est un objet.","No, it's an object.",,,,,1.0,,,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,parent,Est-ce qu'on en trouve plus dans une pièce que dans une autre ?,Are there more in one room than in another?,,,,,1.0,,,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,child,"Pas forcément, c'est juste que là, l'objet est rangé dans une pièce.","Not necessarily, it's just that the object is stored in a room.",,,,,1.0,1.0,1.0,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,parent,Est-ce que ça sert à faire le ménage ?,Is it for cleaning?,,,,,1.0,,,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,child,"Oui, on peut dire ça.","Yes, we can say that.",,,,,1.0,1.0,1.0,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,parent,Est-ce que ça aspire ?,Does it suck?,,,,,1.0,,,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,parent,"Change, t'as pas le droit de changer de mot en cours de route.","Change, you don't have the right to change words along the way.",,,,,,,,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,child,Oui.,Yes.,,,,,,,,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,child,Ça... On va dire que ça aspire.,That... We're going to say that it sucks.,,,,,1.0,1.0,0.0,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,parent,Est-ce que ça sert à frotter ?,Is it for scrubbing?,,,,,1.0,,,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,child,Oui.,Yes.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,parent,Est-ce que c'est une éponge ?,Is it a sponge?,,,,,1.0,,,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,child,Pas du tout.,No way.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,parent,Un torchon ?,A tea-towel ?,,,,,1.0,,,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,child,Pas du tout.,No way.,,,,,1.0,1.0,1.0,,,,,,,,,,
ID_18,11,Nail-polish remover,parent,parent,Une serviette ?,A napkin ?,,,,,1.0,,,,,,,,,,,,
