file_id;child_age;target_word;original_target_word;guesser_type;speaker;original_text;auto_translation;manual_translation;missing_transcript;useful_context;is_dubious;is_relevant;validity_check;agreement;initiate_repair;error_type
ID_2;7;eggs;des oeufs;parent;(INV);Allez, 3, 2, 1, c'est parti.;Come on, 3, 2, 1, here we go.;;;;;;;;;
ID_2;7;eggs;des oeufs;parent;child;C'est bon.;It's good.;;;;;;;;;
ID_2;7;eggs;des oeufs;parent;parent;C'est bon, t'as le mot ?;It's okay, do you have the word?;;;;;;;;;
ID_2;7;eggs;des oeufs;parent;parent;Alors, est-ce que c'est quelque chose qui est vivant ?;So, is it something that is alive?;;;;;1.0;;;;
ID_2;7;eggs;des oeufs;parent;child;Non.;No.;;;;;1.0;1.0;;;
ID_2;7;eggs;des oeufs;parent;parent;Est-ce que c'est un objet ?;Is it an object?;;;;;1.0;;;;
ID_2;7;eggs;des oeufs;parent;child;Non.;No.;;;;;1.0;1.0;;;
ID_2;7;eggs;des oeufs;parent;parent;C'est pas un objet.;It's not an object.;;;;;1.0;;;;
ID_2;7;eggs;des oeufs;parent;parent;Est-ce que c'est quelque chose qui est dans la maison ?;Is this something in the house?;;;;;1.0;;;;
ID_2;7;eggs;des oeufs;parent;child;Non.;No.;;;;;1.0;1.0;;;
ID_2;7;eggs;des oeufs;parent;parent;Dehors ?;Out ?;;;;;1.0;;;;
ID_2;7;eggs;des oeufs;parent;child;Non.;No.;;;;;1.0;1.0;;;
ID_2;7;eggs;des oeufs;parent;parent;Est-ce que c'est quelque chose qu'on peut utiliser ?;Is this something we can use?;;;;;1.0;;;;
ID_2;7;eggs;des oeufs;parent;child;Non.;No.;;;;;1.0;1.0;;;
ID_2;7;eggs;des oeufs;parent;parent;Est-ce qu'on peut le toucher ?;Can we touch it?;;;;;1.0;;;;
ID_2;7;eggs;des oeufs;parent;child;Oui.;Yes.;;;;;1.0;1.0;;;
ID_2;7;eggs;des oeufs;parent;parent;C'est dur ?;It's hard ?;;;;;1.0;;;;
ID_2;7;eggs;des oeufs;parent;child;Un peu.;A little.;;;;;1.0;1.0;;;
ID_2;7;eggs;des oeufs;parent;parent;C'est doux ?;It is soft ?;;;;;1.0;;;;
ID_2;7;eggs;des oeufs;parent;child;Pas trop.;Not too much.;;;;;1.0;1.0;;;
ID_2;7;eggs;des oeufs;parent;parent;C'est râpeux ?;Is it rough?;;;;;1.0;;;;
ID_2;7;eggs;des oeufs;parent;child;Si c'est râpeux, non.;If it's rough, no.;;;;;1.0;1.0;;;
ID_2;7;eggs;des oeufs;parent;parent;C'est mou ?;It's soft ?;;;;;1.0;;;;
