file_id;child_age;target_word;original_target_word;guesser_type;speaker;original_text;auto_translation;manual_translation;missing_transcript;useful_context;is_dubious;is_relevant;validity_check;agreement;initiate_repair;error_type
ID_1;7;painting;Un tableau;child;parent;Alors, c'est parti.;So let's go.;;;;;;;;;
ID_1;7;painting;Un tableau;child;child;(C'est toi qui commence);(You start);;;;;;;;;
ID_1;7;painting;Un tableau;child;parent;C'est moi qui commence ?;Am I going first?;;;;;;;;;
ID_1;7;painting;Un tableau;child;child;Oui, c'est papa qui commence;Yes, it's dad who starts;;;;;;;;;
ID_1;7;painting;Un tableau;child;parent;Ok, ça y est, j'ai trouvé un mot.;Ok, that's it, I found a word.;;;;;;;;;
ID_1;7;painting;Un tableau;child;parent;A toi.;To you.;;;;;;;;;
ID_1;7;painting;Un tableau;child;parent;Pose-moi des questions.;Ask me questions.;;;;;1.0;;;;
ID_1;7;painting;Un tableau;child;child;Est-ce que c'est un animal;Is it an animal;;;;;1.0;;;;
ID_1;7;painting;Un tableau;child;parent;Non.;No.;;;;;1.0;;;;
ID_1;7;painting;Un tableau;child;parent;C'est plutôt de l'ordre des objets.;It's more about objects.;;;;;1.0;;;;
ID_1;7;painting;Un tableau;child;child;Ah !;Ah!;;;;;1.0;;;;
ID_1;7;painting;Un tableau;child;child;A quoi ça sert ?;What's the point ?;What is it used for?;;;1.0;1.0;1.0;1.0;0.0;1,5,9
ID_1;7;painting;Un tableau;child;parent;C'est une bonne question.;It's a good question.;;;;;1.0;;;;
ID_1;7;painting;Un tableau;child;parent;Ça sert à la fois d'objet décoratif et à la fois de témoignage historique.;It serves both as a decorative object and as a historical testimony.;;;;;1.0;;;;
ID_1;7;painting;Un tableau;child;parent;T'as pas d'idée ?;You have no idea?;;;;;1.0;;;;
ID_1;7;painting;Un tableau;child;parent;C'est quelque chose qu'on peut mettre, qu'on trouve souvent chez les gens.;It's something that you can put on, that you often find on people.;;;;1.0;1.0;;;;
ID_1;7;painting;Un tableau;child;parent;Mais pour certains, on peut aussi les trouver dans des endroits réservés pour que tout le monde puisse venir les voir.;But for some, we can also find them in reserved places so that everyone can come and see them.;;;;;1.0;;;;
ID_1;7;painting;Un tableau;child;child;Un tableau ?;A painting ?;;;;;1.0;1.0;1.0;0.0;1,6
ID_1;7;painting;Un tableau;child;parent;Ah oui, bravo !;Ah yes, well done!;;;;;1.0;;;;
ID_1;7;lion;Le lion;parent;parent;Je croyais que ça allait être plus dur, dis donc.;I thought it was going to be harder, I mean.;;;;;;;;;
ID_1;7;lion;Le lion;parent;parent;Allez, à toi.;Come on, over to you.;;;;;;;;;
ID_1;7;lion;Le lion;parent;parent;À toi de me faire trouver un mot.;It's up to you to make me find a word.;;;;;;;;;
ID_1;7;lion;Le lion;parent;child;C'est bon.;It's good.;;;;;;;;;
ID_1;7;lion;Le lion;parent;parent;Alors, est-ce que c'est un être vivant ?;So, is it a living being?;;;;;1.0;;;;
ID_1;7;lion;Le lion;parent;child;Oui.;Yes.;;;;;1.0;1.0;;;
