file_id;child_age;target_word;guesser_type;speaker;original_text;auto_translation;manual_translation;missing_transcript;useful_context;is_dubious;is_relevant;validity_check;is_valid
ID_17;11;;; parent; Alors, c'est moi qui commence à deviner, d'accord ?; So, I'm the one who starts guessing, okay?;;;;;;;
ID_17;11;;; parent;C'est ça ou tu préfères que je commence moi à choisir un mot ?; Is that that or would you prefer that I start choosing a word?;;;;;;;
ID_17;11;;; parent;C'est pareil ?; It's the same ?;;;;;;;
ID_17;11;;; child;Vas-y, commence.; Go ahead, start.;;;;;;;
ID_17;11;;; child;Je commence à deviner.; I'm starting to guess.;;;;;;;
ID_17;11;;; parent;Ah, tu commences à deviner.; Ah, you're starting to guess.;;;;;;;
ID_17;11;Arbor; child; parent;C'est bon.; It's good.;;;;;1;;
ID_17;11;Arbor; child; child;Est-ce que c'est un animal ?; Is it an animal?;;;;;1;;
ID_17;11;Arbor; child; parent;Non.; No.;;;;;1;;
ID_17;11;Arbor; child; child;Est-ce que c'est un objet ?; Is it an object?;;;;;1;1;1
ID_17;11;Arbor; child; parent;C'est un objet, oui.; It's an object, yes.;;;;;1;;
ID_17;11;Arbor; child; child;Est-ce qu'il est dans notre maison ?; Is he in our house?;;;;;1;1;1
ID_17;11;Arbor; child; parent;On en a dans notre maison, oui.; We have some in our house, yes.;;;;;1;;
ID_17;11;Arbor; child; child; Dans le salon ?; In the living room ?;;;;;1;1;1
ID_17;11;Arbor; child; parent;Non.; No.;;;;;1;;
ID_17;11;Arbor; child; child;Dans le jardin ?; In the garden ?;;;;;1;1;1
ID_17;11;Arbor; child; parent;Oui.; Yes.;;;;;1;;
ID_17;11;Arbor; child; child;Est-ce que c'est dans la partie avec le gazon ?; Is it in the part with the grass?;;;;;1;1;1
ID_17;11;Arbor; child; parent;Non.; No.;;;;;1;;
ID_17;11;Arbor; child; child;Dans la terrasse ?; On the terrace?;;;;;1;1;1
ID_17;11;Arbor; child; parent;Oui.; Yes.;;;;;1;;
ID_17;11;Arbor; child; child;Est-ce que c'est dans l'abri ?; Is it in the shelter?;;;;;1;1;1
ID_17;11;Arbor; child; parent;Non.; No.;;;;;1;;
ID_17;11;Arbor; child; child;Sur l'endroit en synthétique ?; On the synthetic side?;;;;;1;1;1
ID_17;11;Arbor; child; parent; Oui.; Yes.;;;;;1;;
ID_17;11;Arbor; child; child;C'est en bois ?; Is it made of wood?;;;;;1;1;1
ID_17;11;Arbor; child; parent;Non.; No.;;;;;1;;
